H.D. (Hilda Doolittle),"Sitwell, Osbert",157
H.D. (Hilda Doolittle),"Sitwell, Sacheverell",2
H.D. (Hilda Doolittle),"Smith, Logan Pearsall",5
H.D. (Hilda Doolittle),Society of Authors,21
H.D. (Hilda Doolittle),"Street, Florence Prince",11
H.D. (Hilda Doolittle),Suhrkamp Verlag,2
H.D. (Hilda Doolittle),"Sutcliffe, Rosemary",4
H.D. (Hilda Doolittle),"Swann, Thomas Burnett",2
H.D. (Hilda Doolittle),Theodore Goddard and Company,3
H.D. (Hilda Doolittle),"Trumper, Jeanette K.",20
H.D. (Hilda Doolittle),"Untermeyer, Jean Starr",8
H.D. (Hilda Doolittle),"Untermeyer, Louis",2
H.D. (Hilda Doolittle),"Urzidil, Johannes",6
H.D. (Hilda Doolittle),"Van Doren, Mark",2
H.D. (Hilda Doolittle),"Volkert, Elsie",10
H.D. (Hilda Doolittle),"Waluga, Joan Leader",2
H.D. (Hilda Doolittle),"Weaver, Harriet Shaw",5
H.D. (Hilda Doolittle),"Wellesley, Dorothy",2
H.D. (Hilda Doolittle),"White, Eric Walter",28
H.D. (Hilda Doolittle),"Wilder, Thornton",2
H.D. (Hilda Doolittle),"Williamson, Lydia Hunn",32
H.D. (Hilda Doolittle),"Wolff, Kurt",2
H.D. (Hilda Doolittle),"Wolle, Francis",32
H.D. (Hilda Doolittle),"Wulfing, Sulamith",7
H.D. (Hilda Doolittle),"Wunderling, Carrie, Martha Wunderling, Ruth Young, and Michael Yudkin",26
